cons_id,party_id,party_list_vote,party_list_vote_percent
ATG_2,712,204,0.22303
ATG_2,714,182,0.19898
ATG_2,715,28,0.03061
ATG_2,717,18,0.01968
ATG_2,718,37,0.04045
ATG_2,719,613,0.67019
ATG_2,721,264,0.28863
ATG_2,722,10,0.01093
ATG_2,723,10,0.01093
ATG_2,724,18,0.01968
ATG_2,725,30,0.0328
ATG_2,726,29547,32.30381
ATG_2,727,205,0.22413
ATG_2,728,32,0.03499
ATG_2,729,22,0.02405
ATG_2,731,71,0.07762
ATG_2,732,55,0.06013
ATG_2,733,174,0.19023
ATG_2,734,66,0.07216
ATG_2,736,224,0.2449
ATG_2,737,11,0.01203
ATG_2,738,488,0.53353
ATG_2,739,11,0.01203
ATG_2,740,490,0.53572
ATG_2,741,21,0.02296
ATG_2,742,11,0.01203
ATG_2,743,556,0.60788
ATG_2,745,52,0.05685
ATG_2,747,98,0.10714
ATG_2,748,148,0.16181
ATG_2,749,62,0.06778
ATG_2,750,56,0.06122
ATG_2,751,13,0.01421
ATG_2,752,212,0.23178
ATG_2,755,46,0.05029
ATG_2,758,196,0.21429
ATG_2,761,147,0.16072
ATG_2,762,218,0.23834
ATG_2,763,7076,7.73621
ATG_2,764,68,0.07434
ATG_2,765,22,0.02405
ATG_2,767,29,0.03171
ATG_2,768,23,0.02515
ATG_2,769,198,0.21647
ATG_2,770,16,0.01749
ATG_2,771,102,0.11152
ATG_2,773,210,0.22959
ATG_2,774,12,0.01312
ATG_2,775,16,0.01749
ATG_2,776,973,1.06378
ATG_2,777,69,0.07544
ATG_2,778,257,0.28098
ATG_2,779,2135,2.3342
ATG_2,780,86,0.09402
ATG_2,781,176,0.19242
ATG_2,783,6,0.00656
ATG_2,784,183,0.20007
ATG_2,786,187,0.20445
AYA_1,701,1019,0.9237
AYA_1,702,68,0.06164
AYA_1,703,13,0.01178
AYA_1,705,23913,21.67662
AYA_1,706,362,0.32815
AYA_1,707,230,0.20849
AYA_1,708,110,0.09971
AYA_1,709,4233,3.83712
AYA_1,710,13,0.01178
AYA_1,712,362,0.32815
AYA_1,714,100,0.09065
AYA_1,715,16,0.0145
AYA_1,717,9,0.00816
AYA_1,718,39,0.03535
AYA_1,719,1267,1.14851
AYA_1,721,140,0.12691
AYA_1,722,18,0.01632
AYA_1,723,4,0.00363
AYA_1,724,34,0.03082
AYA_1,725,9,0.00816
AYA_1,726,49110,44.51716
AYA_1,727,119,0.10787
AYA_1,728,11,0.00997
AYA_1,729,31,0.0281
AYA_1,731,154,0.1396
AYA_1,732,46,0.0417
AYA_1,733,117,0.10606
AYA_1,734,41,0.03717
AYA_1,736,150,0.13597
AYA_1,737,5,0.00453
AYA_1,738,332,0.30095
AYA_1,739,19,0.01722
AYA_1,740,209,0.18945
AYA_1,741,29,0.02629
AYA_1,742,16,0.0145
AYA_1,743,709,0.64269
AYA_1,745,3,0.00272
AYA_1,747,83,0.07524
AYA_1,748,131,0.11875
AYA_1,749,56,0.05076
AYA_1,750,44,0.03989
AYA_1,751,18,0.01632
AYA_1,752,45,0.04079
AYA_1,755,22,0.01994
AYA_1,758,192,0.17404
AYA_1,761,422,0.38253
AYA_1,762,640,0.58015
AYA_1,763,15488,14.03954
AYA_1,764,55,0.04986
AYA_1,765,31,0.0281
AYA_1,767,16,0.0145
AYA_1,768,28,0.02538
AYA_1,769,335,0.30367
AYA_1,770,11,0.00997
AYA_1,771,68,0.06164
AYA_1,773,128,0.11603
AYA_1,774,6,0.00544
AYA_1,775,26,0.02357
AYA_1,776,84,0.07614
AYA_1,777,49,0.04442
AYA_1,778,262,0.2375
AYA_1,779,2343,2.12388
AYA_1,780,125,0.11331
AYA_1,781,162,0.14685
AYA_1,783,9,0.00816
AYA_1,784,203,0.18402
AYA_1,786,222,0.20124
AYA_2,701,962,0.89953
AYA_2,702,128,0.11969
AYA_2,703,20,0.0187
AYA_2,705,30469,28.49035
AYA_2,706,160,0.14961
AYA_2,707,143,0.13371
AYA_2,708,132,0.12343
AYA_2,709,2557,2.39095
AYA_2,710,10,0.00935
AYA_2,712,321,0.30015
AYA_2,714,1639,1.53256
AYA_2,715,29,0.02712
AYA_2,717,9,0.00842
AYA_2,718,30,0.02805
AYA_2,719,1122,1.04914
AYA_2,721,157,0.1468
AYA_2,722,17,0.0159
AYA_2,723,14,0.01309
AYA_2,724,23,0.02151
AYA_2,725,20,0.0187
AYA_2,726,43759,40.91729
AYA_2,727,383,0.35813
AYA_2,728,80,0.0748
AYA_2,729,18,0.01683
AYA_2,731,55,0.05143
AYA_2,732,21,0.01964
AYA_2,733,35,0.03273
AYA_2,734,177,0.16551
AYA_2,736,142,0.13278
AYA_2,737,18,0.01683
AYA_2,738,531,0.49652
AYA_2,739,39,0.03647
AYA_2,740,74,0.06919
AYA_2,741,38,0.03553
AYA_2,742,8,0.00748
AYA_2,743,1588,1.48488
AYA_2,745,12,0.01122
AYA_2,747,246,0.23002
AYA_2,748,170,0.15896
AYA_2,749,56,0.05236
AYA_2,750,50,0.04675
AYA_2,751,15,0.01403
AYA_2,752,113,0.10566
AYA_2,755,31,0.02899
AYA_2,758,177,0.16551
AYA_2,761,377,0.35252
AYA_2,762,404,0.37776
AYA_2,763,10412,9.73585
AYA_2,764,73,0.06826
AYA_2,765,43,0.04021
AYA_2,767,25,0.02338
AYA_2,768,24,0.02244
AYA_2,769,211,0.1973
AYA_2,770,12,0.01122
AYA_2,771,88,0.08229
AYA_2,773,149,0.13932
AYA_2,774,2,0.00187
AYA_2,775,24,0.02244
AYA_2,776,193,0.18047
AYA_2,777,63,0.05891
AYA_2,778,2085,1.9496
AYA_2,779,128,0.11969
AYA_2,780,126,0.11782
AYA_2,781,695,0.64987
AYA_2,783,4,0.00374
AYA_2,784,201,0.18795
AYA_2,786,169,0.15803
AYA_3,701,719,0.66637
AYA_3,702,95,0.08805
AYA_3,703,11,0.01019
AYA_3,705,28872,26.75861
AYA_3,706,199,0.18443
AYA_3,707,139,0.12883
AYA_3,708,120,0.11122
AYA_3,709,3938,3.64974
AYA_3,710,18,0.01668
AYA_3,712,267,0.24746
AYA_3,714,203,0.18814
AYA_3,715,31,0.02873
AYA_3,717,5,0.00463
AYA_3,718,30,0.0278
AYA_3,719,1048,0.97129
AYA_3,721,107,0.09917
AYA_3,722,8,0.00741
AYA_3,723,6,0.00556
AYA_3,724,20,0.01854
AYA_3,725,8,0.00741
AYA_3,726,50739,47.02497
AYA_3,727,134,0.12419
AYA_3,728,17,0.01576
AYA_3,729,18,0.01668
AYA_3,731,37,0.03429
AYA_3,732,34,0.03151
AYA_3,733,69,0.06395
AYA_3,734,105,0.09731
AYA_3,736,147,0.13624
AYA_3,737,12,0.01112
AYA_3,738,397,0.36794
AYA_3,739,7,0.00649
AYA_3,740,85,0.07878
AYA_3,741,14,0.01298
AYA_3,742,12,0.01112
AYA_3,743,695,0.64413
AYA_3,745,6,0.00556
AYA_3,747,2356,2.18354
AYA_3,748,156,0.14458
AYA_3,749,43,0.03985
AYA_3,750,34,0.03151
AYA_3,751,12,0.01112
AYA_3,752,112,0.1038
AYA_3,755,27,0.02502
AYA_3,758,165,0.15292
AYA_3,761,133,0.12326
AYA_3,762,401,0.37165
AYA_3,763,8683,8.04742
AYA_3,764,47,0.04356
AYA_3,765,40,0.03707
AYA_3,767,17,0.01576
AYA_3,768,33,0.03058
AYA_3,769,222,0.20575
AYA_3,770,4,0.00371
AYA_3,771,116,0.10751
AYA_3,773,134,0.12419
AYA_3,774,13,0.01205
AYA_3,775,28,0.02595
AYA_3,776,170,0.15756
