cons_id,cons_no,prov_id,registered_vote,total_vote_stations,zone
PTE_1,1,PTE,131911,202,อำเภอลาดหลุมแก้ว
PTE_1,1,PTE,131911,202,อำเภอสามโคก
PTE_2,2,PTE,135661,186,"อำเภอเมืองปทุมธานี (ยกเว้นตำบลบ้านฉาง, ตำบลบางหลวง, ตำบลบางเดื่อ, ตำบลสวนพริกไทย)"
PTE_3,3,PTE,126841,201,"อำเภอคลองหลวง (เฉพาะเทศบาลเมืองท่าโขลง, ตำบลคลองสาม)"
PTE_4,4,PTE,133035,185,อำเภอเมืองปทุมธานี (เฉพาะตำบลสวนพริกไทย)
PTE_4,4,PTE,133035,185,อำเภอคลองหลวง (เฉพาะเทศบาลเมืองคลองหลวง)
PTE_4,4,PTE,133035,185,อำเภอธัญบุรี (เฉพาะตำบลประชาธิปัตย์)
PTE_5,5,PTE,143098,211,"อำเภอคลองหลวง (เฉพาะตำบลคลองสี่, ตำบลคลองห้า, ตำบลคลองหก, ตำบลคลองเจ็ด)"
PTE_5,5,PTE,143098,211,"อำเภอธัญบุรี (เฉพาะตำบลบึงยี่โถ, ตำบลรังสิต, ตำบลลำผักกูด)"
PTE_5,5,PTE,143098,211,"อำเภอหนองเสือ (เฉพาะตำบลบึงชำอ้อ, ตำบลบึงกาสาม, ตำบลนพรัตน์)"
PTE_6,6,PTE,147192,228,"อำเภอลำลูกกา (เฉพาะตำบลคูคต, ตำบลลาดสวาย)"
PTE_7,7,PTE,142903,209,"อำเภอธัญบุรี (เฉพาะตำบลบึงสนั่น, ตำบลบึงน้ำรักษ์)"
PTE_7,7,PTE,142903,209,"อำเภอลำลูกกา (เฉพาะตำบลบึงคำพร้อย, ตำบลลำลูกกา, ตำบลบึงทองหลาง, ตำบลลำไทร, ตำบลบึงคอไห, ตำบลพืชอุดม)"
